DHALSIM,E. HONDA,RASHID,JP,KIMBERLY,BLANKA,LILY,CHUN-LI,LUKE,DEE JAY,A.K.I.,CAMMY,GUILE,MARISA,MANON,KEN,JURI,ED,JAMIE,ZANGIEF,RYU
0.01486,0.01981,0.02599,0.04478,0.02831,0.02593,0.01682,0.03981,0.07974,0.0593,0.02673,0.06987,0.03223,0.05071,0.03308,0.10366,0.0604,0.06744,0.06262,0.05026,0.08766

0.6199
0.5602,0.4907
0.4274,0.509,0.4965
0.5538,0.5031,0.4718,0.5615
0.5423,0.4104,0.4823,0.4991,0.528
0.4089,0.4856,0.4767,0.4476,0.4639,0.4557
0.4927,0.4769,0.5055,0.4746,0.5049,0.5011,0.4705
0.4827,0.5086,0.5116,0.5125,0.5,0.5139,0.488,0.4768
0.5513,0.5033,0.5109,0.5006,0.5177,0.5384,0.4897,0.495,0.4825
0.5164,0.4847,0.5142,0.4961,0.4855,0.5056,0.5027,0.5133,0.4952,0.5063
0.5358,0.4515,0.519,0.5254,0.5033,0.4341,0.4924,0.5088,0.51,0.4841,0.5149
0.5037,0.48,0.4807,0.4085,0.472,0.546,0.4858,0.4968,0.5067,0.5095,0.4973,0.4638
0.4236,0.5224,0.4722,0.4771,0.4879,0.4648,0.466,0.5106,0.5095,0.5389,0.5018,0.524,0.5439
0.4662,0.5164,0.5,0.4831,0.4922,0.4769,0.4882,0.4939,0.494,0.5186,0.5087,0.518,0.52,0.4928
0.5041,0.5117,0.4976,0.4949,0.5134,0.5146,0.5011,0.4841,0.4989,0.4841,0.4976,0.4895,0.4645,0.5117,0.5106
0.5083,0.4696,0.4827,0.5326,0.5038,0.497,0.4981,0.4902,0.4839,0.4827,0.4933,0.5024,0.4769,0.5345,0.5059,0.4876
0.4578,0.5082,0.4837,0.4862,0.465,0.4792,0.4988,0.4838,0.4983,0.4849,0.4697,0.4998,0.4746,0.5186,0.5318,0.4946,0.4986
0.4833,0.4731,0.4933,0.4891,0.5087,0.4912,0.4874,0.5107,0.4921,0.4868,0.4925,0.5203,0.4486,0.5063,0.5086,0.497,0.4903,0.499
0.3661,0.5215,0.4835,0.4489,0.4979,0.4516,0.4255,0.5047,0.4983,0.5378,0.4957,0.5252,0.5228,0.475,0.4709,0.515,0.5065,0.4619,0.5055
0.4947,0.5073,0.486,0.4767,0.4751,0.5094,0.4958,0.4741,0.486,0.4839,0.4977,0.4637,0.4902,0.4968,0.4913,0.5022,0.4996,0.4981,0.5004,0.5029
